s_m,x_m,y_m,yaw_rad,kappa_1pm,radius_m,label
0.000000,2.038546,3.180000,0.000000018,-0.005207071,192.046561,gate_exit_ccw_center
0.009898,2.048444,3.179997,-0.001020985,-0.211421819,4.729881,gate_exit_ccw_center
0.019797,2.058343,3.179973,-0.004082960,-0.417636568,2.394426,gate_exit_ccw_center
0.029695,2.068241,3.179909,-0.009185906,-0.623851317,1.602946,gate_exit_ccw_center
0.039593,2.078138,3.179784,-0.016329824,-0.830066065,1.204723,gate_exit_ccw_center
0.049491,2.088034,3.179579,-0.025514714,-1.036280814,0.964989,gate_exit_ccw_center
0.059390,2.097928,3.179273,-0.036741573,-1.242495563,0.804832,gate_exit_ccw_center
0.069288,2.107817,3.178845,-0.050009440,-1.448710312,0.690269,gate_exit_ccw_center
0.079186,2.117699,3.178276,-0.065318279,-1.654925061,0.604257,gate_exit_ccw_center
0.089084,2.127570,3.177546,-0.082668090,-1.861139811,0.537305,gate_exit_ccw_center
0.098983,2.137426,3.176635,-0.102058873,-2.067354560,0.483710,gate_exit_ccw_center
0.108881,2.147262,3.175523,-0.123491588,-2.273569309,0.439837,gate_exit_ccw_center
0.118779,2.157069,3.174190,-0.146965348,-2.479784058,0.403261,gate_exit_ccw_center
0.128677,2.166842,3.172620,-0.171695000,-2.500000000,0.400000,gate_exit_ccw_center
0.138575,2.176573,3.170808,-0.196440770,-2.500000000,0.400000,gate_exit_ccw_center
0.148473,2.186256,3.168756,-0.221186539,-2.500000000,0.400000,gate_exit_ccw_center
0.158371,2.195885,3.166465,-0.245932309,-2.500000000,0.400000,gate_exit_ccw_center
0.168269,2.205455,3.163937,-0.270678079,-2.500000000,0.400000,gate_exit_ccw_center
0.178167,2.214959,3.161173,-0.295423849,-2.500000000,0.400000,gate_exit_ccw_center
0.188065,2.224392,3.158174,-0.320169619,-2.500000000,0.400000,gate_exit_ccw_center
0.197963,2.233748,3.154943,-0.344915389,-2.500000000,0.400000,gate_exit_ccw_center
0.207861,2.243021,3.151481,-0.369661159,-2.500000000,0.400000,gate_exit_ccw_center
0.217759,2.252205,3.147791,-0.394406929,-2.500000000,0.400000,gate_exit_ccw_center
0.227657,2.261296,3.143875,-0.419152699,-2.500000000,0.400000,gate_exit_ccw_center
0.237555,2.270286,3.139735,-0.443898469,-2.500000000,0.400000,gate_exit_ccw_center
0.247453,2.279172,3.135374,-0.468644239,-2.500000000,0.400000,gate_exit_ccw_center
0.257351,2.287947,3.130794,-0.493390009,-2.500000000,0.400000,gate_exit_ccw_center
0.267250,2.296606,3.125999,-0.518135778,-2.500000000,0.400000,gate_exit_ccw_center
0.277148,2.305143,3.120991,-0.542881548,-2.500000000,0.400000,gate_exit_ccw_center
0.287046,2.313554,3.115773,-0.567627318,-2.500000000,0.400000,gate_exit_ccw_center
0.296944,2.321834,3.110348,-0.592373088,-2.500000000,0.400000,gate_exit_ccw_center
0.306842,2.329976,3.104721,-0.617118858,-2.500000000,0.400000,gate_exit_ccw_center
0.316740,2.337977,3.098893,-0.641864628,-2.500000000,0.400000,gate_exit_ccw_center
0.326638,2.345831,3.092870,-0.666610398,-2.500000000,0.400000,gate_exit_ccw_center
0.336536,2.353534,3.086654,-0.691356168,-2.500000000,0.400000,gate_exit_ccw_center
0.346434,2.361081,3.080249,-0.716101937,-2.500000000,0.400000,gate_exit_ccw_center
0.356332,2.368467,3.073660,-0.740847707,-2.500000000,0.400000,gate_exit_ccw_center
0.366230,2.375687,3.066890,-0.765593477,-2.500000000,0.400000,gate_exit_ccw_center
0.376128,2.382738,3.059943,-0.790339247,-2.500000000,0.400000,gate_exit_ccw_center
0.386026,2.389615,3.052824,-0.815085017,-2.500000000,0.400000,gate_exit_ccw_center
0.395924,2.396313,3.045537,-0.839830787,-2.500000000,0.400000,gate_exit_ccw_center
0.405822,2.402829,3.038086,-0.864576556,-2.500000000,0.400000,gate_exit_ccw_center
0.415720,2.409159,3.030476,-0.889322326,-2.500000000,0.400000,gate_exit_ccw_center
0.425618,2.415299,3.022713,-0.914068096,-2.500000000,0.400000,gate_exit_ccw_center
0.435516,2.421244,3.014799,-0.938813866,-2.500000000,0.400000,gate_exit_ccw_center
0.445415,2.426992,3.006741,-0.963559635,-2.500000000,0.400000,gate_exit_ccw_center
0.455313,2.432539,2.998543,-0.988305405,-2.500000000,0.400000,gate_exit_ccw_center
0.465211,2.437881,2.990211,-1.013051175,-2.500000000,0.400000,gate_exit_ccw_center
0.475109,2.443016,2.981749,-1.037796945,-2.500000000,0.400000,gate_exit_ccw_center
0.485007,2.447939,2.973162,-1.062542715,-2.500000000,0.400000,gate_exit_ccw_center
0.494905,2.452649,2.964456,-1.087288484,-2.500000000,0.400000,gate_exit_ccw_center
0.504803,2.457142,2.955637,-1.112034254,-2.500000000,0.400000,gate_exit_ccw_center
0.514701,2.461415,2.946708,-1.136780024,-2.500000000,0.400000,gate_exit_ccw_center
0.524599,2.465466,2.937677,-1.161525794,-2.500000000,0.400000,gate_exit_ccw_center
0.534497,2.469292,2.928549,-1.186271563,-2.500000000,0.400000,gate_exit_ccw_center
0.544395,2.472891,2.919328,-1.211017333,-2.500000000,0.400000,gate_exit_ccw_center
0.554293,2.476261,2.910021,-1.235763103,-2.500000000,0.400000,gate_exit_ccw_center
0.564191,2.479399,2.900634,-1.260508872,-2.500000000,0.400000,gate_exit_ccw_center
0.574089,2.482305,2.891172,-1.285254642,-2.500000000,0.400000,gate_exit_ccw_center
0.583987,2.484975,2.881641,-1.310000412,-2.500000000,0.400000,gate_exit_ccw_center
0.593885,2.487409,2.872047,-1.334746182,-2.500000000,0.400000,gate_exit_ccw_center
0.603783,2.489604,2.862395,-1.359491951,-2.500000000,0.400000,gate_exit_ccw_center
0.613681,2.491560,2.852692,-1.384237721,-2.500000000,0.400000,gate_exit_ccw_center
0.623579,2.493276,2.842944,-1.408983491,-2.500000000,0.400000,gate_exit_ccw_center
0.633478,2.494750,2.833156,-1.433449964,-2.387018408,0.418933,gate_exit_ccw_center
0.643376,2.495992,2.823337,-1.456108679,-2.180803660,0.458547,gate_exit_ccw_center
0.653274,2.497022,2.813492,-1.476725868,-1.974588912,0.506435,gate_exit_ccw_center
0.663172,2.497858,2.803629,-1.495301605,-1.768374164,0.565491,gate_exit_ccw_center
0.673070,2.498522,2.793754,-1.511836371,-1.562159416,0.640140,gate_exit_ccw_center
0.682968,2.499032,2.783868,-1.526330165,-1.355944668,0.737493,gate_exit_ccw_center
0.692867,2.499408,2.773977,-1.538782987,-1.149729920,0.869769,gate_exit_ccw_center
0.702765,2.499672,2.764083,-1.549194320,-0.943515172,1.059866,gate_exit_ccw_center
0.712663,2.499843,2.754186,-1.557564165,-0.737300424,1.356299,gate_exit_ccw_center
0.722561,2.499941,2.744288,-1.563893038,-0.531085676,1.882935,gate_exit_ccw_center
0.732460,2.499986,2.734390,-1.568180940,-0.324870927,3.078146,gate_exit_ccw_center
0.742358,2.499999,2.724492,-1.570427869,-0.118656179,8.427711,gate_exit_ccw_center
0.752256,2.500000,2.714593,-1.570796327,-0.000000000,,gate_exit_ccw_center
0.762155,2.500000,2.704695,-1.570796327,-0.000000000,,gate_exit_ccw_center
0.772053,2.500000,2.694797,-1.570796327,-0.000000000,,gate_exit_ccw_center
0.781951,2.500000,2.684898,-1.570796327,-0.000000000,,gate_exit_ccw_center
0.791850,2.500000,2.675000,-1.570796327,-0.000000000,,gate_exit_ccw_center
